Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost Store Parts
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE10 * JF15,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 1-5/16"" STD",740-4105,687022,129818,0,70,$9.00,$9.42,2024-11-03,2024-12-27,53,$659.32
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JF15*JE10,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 15/16"" STD",740-4015,684671,129812,0,70,$6.00,$8.44,2025-02-04,2024-12-30,50,$590.63
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IA10 * HC30,BULK - HAND TOOLS PIPE WRENCH,"PIPE WRENCH 24""",270-1324,684339,89481,0,70,$73.21,$80.74,2024-12-28,2024-12-27,53,"$5,651.83"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KC20,BULK - RIGGING SLING POLYESTER,"SLING POLYESTER EYE2EYE 2 PLY 2"" X 20'",747-2222,1014850,5858738,0,69,$23.53,$31.93,2024-12-31,2024-12-27,53,"$2,203.17"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KE40,BULK - WELDING HOSE,HOSE TWINLINE OXYGEN ACETYLENE 100' RED GREEN,900-0770,684320,782012,0,69,$81.83,$54.70,2025-02-03,2024-08-30,172,"$3,774.53"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,HA20*ETCH,BULK - HAND TOOLS PRY BAR,"BAR PRY 24""",745-1006,684767,136586,0,68,$0.01,$21.89,2024-12-30,2024-12-29,51,"$1,488.40"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,"KENNEDY WIRE ROPE & SLING COMPANY, INC.",TYPE EEF-2-92 POLYESTER EYE SLING 2 PLY,"EEF-2-92-2"" X 3'",1184989,3690034,0,68,$34.90,$34.90,2024-12-31,1899-12-31,49,"$2,373.20"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,HB10 * HC10,BULK - HAND TOOLS PIN,"PIN LINE UP BULL 1-1/16""",745-1821,1013745,136678,0,68,$18.34,$23.04,2024-12-18,2024-12-27,53,"$1,566.41"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB7DR3,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 1/2"" DR X 1/2"" STD",740-3008,684318,129787,0,68,$5.07,$4.60,2024-12-27,1899-12-31,53,$312.91
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,GB20*GC10,MICHIGAN PNEUMATIC,CHISEL 2-1/2IN WID X 15IN LONG,5602,888910,4003440,0,67,$29.50,$29.50,2024-12-27,2024-12-29,51,"$1,976.50"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IC15,BULK - HAMMER WRENCH OFFSET,"HAMMER WRENCH  1-7/16"" OFFSET",744-2107,684376,135368,0,67,$24.00,$32.23,2025-02-04,2024-12-30,50,"$2,159.46"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,HA15,BULK - HAND TOOLS,"C-CLAMP ADJUSTABLE 6""",730-8602,684336,144165,0,66,$36.50,$42.91,2024-12-29,1899-12-31,51,"$2,831.95"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CD10,GENERAL WORK PRODUCTS,ROLL 1-3/16 X 150 GREEN FLAG,TFTG - ROLL,1124557,3750968,700829154464,66,$1.42,$1.46,2024-12-30,2024-12-27,53,$96.39
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KC40,BULK - HOSE AIR,"AIR HOSE 3/4"" X 50' CP FITTINGS GREEN",540-0970,1016422,137960,0,66,$155.83,$162.51,2024-12-31,2024-12-27,53,"$10,725.82"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BD20,DIXON VALVE,"1/4"" FEMALE BARB ARGON FITTING",DC3842,1070564,4028492,0,66,$12.00,$11.95,2024-12-31,2024-12-27,53,$788.46
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,AA30,SEASENSE,AIR HORN JUMBO | 8 OZ,SEH50074080,684694,2250513,737765740802,66,$12.40,$12.41,2024-11-30,2024-12-27,53,$818.98
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KD30,BRIDGESTONE HOSE POWER,COUPLR 1/4 x 3/8 HBARB AIR IND BRASS,QDC46HBBR,1114552,5858259,0,66,$7.11,$7.11,2024-12-28,2024-12-27,53,$469.26
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,NORTON,4-1/2 X 5/8-11 T29 Bluefire Flap Disc 60 Grit 250,66254461170,1119739,3694396,10662544611707,66,$3.41,$3.27,2025-02-04,1899-12-31,14,$215.82
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DB20,GENERAL WORK PRODUCTS,EA SMALL SAFETY VEST LIME,SVLS,1116045,2253921,0,65,$3.25,$3.25,2025-02-04,1899-12-31,14,$211.25
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,AA20,TECHNIWELD,"Chem Star Matte Galvanized Spray, 95% Pure Zinc (16 oz.)",CSMGALV,1059108,3832017,843088142084,65,$7.60,$7.86,2024-12-29,2024-12-27,53,$510.98
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE15,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 2"" STD",740-4200,684308,129829,0,65,$21.00,$25.13,2024-12-27,2024-12-31,49,"$1,633.62"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BC20,GARDNER BENDER,"Standard Cable Ties, 75 lb Tensile Strength, 14 in L, UV Black, 100/Bag",46-315UVB,850653,3678604,032076881108,64,$5.48,$6.73,2024-12-27,2025-01-23,26,$430.59
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,LA30,BULK - FLUID ACCESSORY,WHIP HOSE & OILER,700-1210,684747,88575,0,64,$52.00,$86.72,2025-02-03,2025-01-09,40,"$5,550.39"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,GB20,MICHIGAN PNEUMATIC,"12"" Jumbo Moil Point (Rivet Buster)",JRB-12MP-USA,684548,54282,0,64,$14.95,$15.34,2025-02-04,2024-08-30,172,$981.47
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE20 * JF10,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 1"" DR X 1-5/8"" STD",740-5110,684343,129852,0,64,$27.27,$25.86,2024-12-27,2024-12-30,50,"$1,654.97"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE15*JE10,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 1-5/8"" STD",740-4110,684346,129823,0,63,$28.39,$20.89,2025-02-04,2024-12-27,53,"$1,316.02"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,NB40,BULK - RIGGING SLING WIRE,"SLING WIRE ROPE 1/2"" X 8'",746-3158,683992,2258289,0,63,$16.13,$16.62,2024-12-27,2024-08-30,172,"$1,046.81"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KB10,ABCO,Pro Grab 36 in. Grab Litter and Debris Picker,90001,684706,3679787,050139900016,63,$51.15,$51.15,2025-01-09,1899-12-31,40,"$3,222.45"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,BULK - ACCESSORY STORAGE,ACCESSORY BULK BIN,500-2401,1011627,115123,0,63,$392.88,$392.88,2024-12-27,2024-08-30,172,"$24,751.44"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DC30,GENERAL WORK PRODUCTS,"Large - 3pc, PVC on polyester (35 mil), Flame Resistant (ASTM D6413),",RS260FRL,1124561,3786439,0,62,$7.50,$7.50,2024-12-30,2024-12-27,53,$465.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CC30,TECHNIWELD,2X1X1/4 SHANK 80 GRIT FLAP WHEEL AO,RAN31512,1124562,4133158,0,62,$2.17,$2.17,2024-11-03,2024-12-27,53,$134.54
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KB30 * JD30,"KENNEDY WIRE ROPE & SLING COMPANY, INC.","2"" X6' TYPE EEF-2-92 POLYESTER FLAT EYE SLING 12 EA 2 PLY VERTICAL-6.400 LBS CHOKER-5,100 LBS BASKET-12.800 LBS","1300-00506 - 2"" X 6'",684533,3695324,0,62,$10.82,$10.82,2024-12-27,1899-12-31,53,$670.84
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BC20,MICHIGAN PNEUMATIC,"WHIP CHECK 2"" FOR BULL HOSE",SLC2,684701,43009,0,61,$5.95,$5.63,2024-12-27,2024-08-30,172,$343.69
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CC20,METABO,6 x 1/4 x 7/8 A24N,US616554000,1124560,4169094,0,61,$1.00,$1.00,2024-12-30,2024-12-27,53,$61.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DC10,GENERAL WORK PRODUCTS,"1-3/16"" X 150' FLAGGING TAPE, BLUE - ROLL",TFTB - ROLL,1124552,2057239,700829154389,61,$1.42,$1.42,2024-12-27,1899-12-31,53,$86.38
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,HB10,BULK - HAND TOOLS PRY BAR,"BAR PRY 18""",745-1005,684333,136585,0,60,$17.34,$17.33,2024-12-29,2024-12-27,53,"$1,039.98"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,TECHNIWELD,308/308L 5/32 DIAMETER 36IN 10LB PKG ISO W199L	,308L15636,1225425,3871678,0,60,$4.20,$4.20,2025-02-04,1899-12-31,14,$252.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IC20,BULK - WRENCH COMBINATION STANDARD,"COMBINATION WRENCH 3/4""",744-5012,683997,135631,0,60,$15.07,$22.60,2025-02-04,2024-12-27,53,"$1,356.03"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CD25,NORTON,"Bluefire® Type 27 Depressed Center Wheel, 4-1/2 in x 1/8 x 5/8-11, 24 Grit, Zirconia Alumina",66252843211,1028596,4121711,0,60,$8.53,$8.53,2024-08-31,1899-12-31,171,$511.80
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,TECHNIWELD,"TIG Welding Rod: 36″ OAL, 0.094″ Dia, Stainless Steel",308L09336,1225422,3667383,0,60,$4.35,$4.35,2025-02-04,1899-12-31,14,$261.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JF15,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 11/16"" STD",740-4011,924330,129808,0,60,$7.00,$7.50,2025-02-04,2024-12-27,53,$449.79
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,SHARPIE,"FINE TIP PERMANENT MARKER, BLACK",30001,1225362,3745944,071641300019,60,$1.15,$1.15,2025-02-04,1899-12-31,14,$69.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JC10,MICHIGAN PNEUMATIC,KIT RIVET BUSTER REPAIR,RER-RBKIT,1191987,5950393,0,60,$16.50,$16.50,2025-01-23,1899-12-31,26,$990.00
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IC30,NORTON,Type 27 Grinding Wheel (Pack of 10)-4-1/2x1/8x5/8-11 T27 wheel,66252843609,1169280,781557,30662528436092,60,$1.89,$1.89,2024-12-27,1899-12-31,53,$113.40
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DD10,IRONWEAR,FIRE RESISTANT RAINCOAT YELLOW X- LARGE,9223-YFR-4-XLG,1028688,699124,0,60,$9.12,$9.12,2024-12-27,2024-12-30,50,$547.20
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DD10,IRONWEAR,FIRE RESISTANT RAINCOAT YELLOW 2-XL,9223-YFR-5-2XLG,1056980,699125,0,59,$9.12,$9.12,2024-12-30,2024-12-27,53,$538.08
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BB20,MASTERLOCK,COMBINATION BRASS PADLOCK,175DLH,865131,3746000,071649395505,59,$16.59,$16.59,2024-12-27,2025-02-03,15,$978.81
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KB30,BULK - RIGGING SLING POLYESTER,"SLING POLYESTER EYE2EYE 2 PLY 2"" X 10'",747-2211,1014605,4130030,0,59,$12.85,$13.41,2024-12-27,2024-08-30,172,$791.34
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE15*JF10,BULK - IMPACT SOCKET DEEP,"IMPACT SOCKET 3/4"" DR X 1-13/16"" DW",741-4113,684226,133563,0,59,$31.85,$27.96,2024-12-30,2024-08-30,172,"$1,649.49"
